date,temp,surface_pressure,total_precipitation_sum,dewpoint_temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m
1957-10-17,26.980922317504906,100754.86018880208,0.0037639081474480918,296.9143352508545,-2.3386319478352866,0.007095694541931152
1957-10-18,26.408266957600915,100811.03401692708,0.010041709238578278,296.49992243448895,-1.6786410013834636,0.6771234273910522
1957-10-19,25.843811289469443,100948.38004557292,0.014559962198347876,296.22497876485187,-1.0144767761230469,0.5714077154795328
1957-10-20,25.355814234415732,101030.23909505208,0.017301108337505866,296.2150510152181,-1.3047962188720703,0.42812474568684894
1957-10-21,25.323670323689782,100977.15543619792,0.01199541844414398,296.36464436848956,-0.7501366933186849,-0.03993717829386393
1957-10-22,26.523214594523154,100794.67154947917,0.0013428330421447754,296.7490526835124,-1.2280495564142864,0.509139895439148
1957-10-23,27.020097986857138,100816.8974609375,0.0021667304615675675,297.0086199442546,-1.4946653445561726,0.745651125907898
1957-10-24,26.286626434326195,100904.16927083333,0.005997821688652039,296.96352513631183,-0.7800130844116211,-0.3183993895848592
1957-10-25,26.585171000162802,100817.53987630208,0.007174806260081823,297.0790430704753,-0.8277323246002197,-1.4161343971888225
1957-10-26,25.762648518880212,100712.09798177083,0.009607815742487702,296.7651246388753,-1.5057552655537922,-1.4568440119425456
1957-10-27,25.78707656860354,100784.45491536458,0.008245379153834165,296.7887954711914,-2.008259733517965,-0.7902921040852865
1957-10-28,26.26110420227053,100888.42724609375,0.006223082542419434,296.96686871846515,-1.8640435536702473,0.037701924641927086
1957-10-29,26.58644574483236,100976.62353515625,0.0020521879196166992,297.0083287556966,-1.4362169901529949,-0.9977156321207682
1957-10-30,26.514611816406273,101022.52083333333,0.006783768534660339,297.1357714335124,-1.6207840045293171,-0.6678695678710938
1957-10-31,26.589485422770224,100982.46028645833,0.004108527302737031,296.5145149230957,-1.9384193420410156,-0.9342015981674194
1957-11-01,25.968001302083337,100909.57568359375,0.005898940563099586,296.8566023508708,-1.5159703095753987,-1.4160722096761067
1957-11-02,25.573181406656943,100912.40266927083,0.011417921455119995,296.6819699605306,-1.814137061436971,-2.5702815850575766
1957-11-03,24.814373906453454,100822.02001953125,0.03227280378331443,296.47713534037274,-1.8802865346272786,-1.3212700684865315
1957-11-04,24.545280075073265,100871.205078125,0.03445050716396736,296.41587893168133,-1.843868891398112,1.0811195373535156
1957-11-05,25.077408727010095,100939.58951822917,0.01039673388004303,296.3471514383952,-1.8219183286031086,0.11591402689615886
1957-11-06,25.21752510070803,100979.07210286458,0.010747253894749065,296.1495933532715,-1.3921400705973308,-0.9166656732559204
1957-11-07,25.491157786051474,100916.39241536458,0.004796355962753296,296.1559251149495,-1.4796282450358074,0.23645846048990884
1957-11-08,26.59748229980471,100931.40934244792,0.00024431943893432617,294.40468470255536,-2.773198445638021,-1.3129119475682576
1957-11-09,26.496003087361657,100973.51806640625,2.7793645756446494e-05,293.9010938008626,-2.5071029663085938,-1.921374003092448
1957-11-10,26.63564834594729,101012.08723958333,0.0004036502113535789,294.14000002543133,-1.8389644622802734,-2.5044467051823935
1957-11-11,25.42494608561202,100983.26236979167,0.006303301453385757,294.79752349853516,-1.9479198455810547,-0.9385461807250977
1957-11-12,24.62548980712893,101002.66520182292,0.012338429689407349,296.1074733734131,-0.9880512952804565,-0.41384899616241455
1957-11-13,25.29617080688479,101136.54703776042,0.006245284410113072,296.4149595896403,-0.9980684916178385,0.07854143778483073
1957-11-14,25.49266840616866,101237.19401041667,0.0007178516048611527,295.2124188741048,-1.8174476623535156,-1.9356674353281658
1957-11-15,26.01885121663412,101257.15169270833,0.00012450978060840612,294.35697746276855,-1.8284281889597576,-2.29949951171875
1957-11-16,26.2564470926921,101147.08610026042,7.856212675960705e-06,294.53422355651855,-1.9019711812337239,-2.0183526277542114
1957-11-17,25.51384061177572,101038.39713541667,2.139806724699156e-06,294.3093891143799,-1.4128812154134114,-1.7454785108566284
1957-11-18,24.912655766805017,101044.15022786458,8.63373276160928e-06,293.91218694051105,-1.1808840433756511,-1.6384164492289226
1957-11-19,25.834081904093466,101186.9619140625,5.40316104888916e-05,293.9390328725179,-1.804080645243327,-2.6430187225341797
1957-11-20,24.55094426472982,101218.78499348958,0.05062475800508537,295.5019810994466,-1.203076680501302,-2.441958745320638
1957-11-21,25.294085439046228,101112.18929036458,0.009017076976476801,295.0842965443929,-0.948309580485026,-2.8494771321614585
1957-11-22,25.454016621907556,101037.25846354167,8.061528205871582e-06,294.2329692840576,-1.5757516225179036,-2.8853060007095337
1957-11-23,25.244987106323265,101086.43636067708,8.523463748133508e-07,293.1746476491292,-1.982159694035848,-2.9161497751871743
1957-11-24,25.828993733723962,101252.41634114583,0.0016688138246081508,293.3353563944499,-2.579942067464193,-2.892660697301229
1957-11-25,25.560313796997093,101243.41227213542,0.0012159463627767764,293.8001314798991,-2.46584685643514,-3.1892549196879068
1957-11-26,25.534408187866234,101102.23942057292,0.00018543061014497653,293.29521560668945,-1.8561056057612102,-3.104847510655721
1957-11-27,25.412315622965536,101094.94856770833,6.907284250701196e-05,293.07378514607746,-1.7507457733154297,-3.379990259806315
1957-11-28,25.26245269775393,101113.65201822917,0.0018914908159786137,293.4318192799886,-1.7990766366322835,-2.9895706176757812
1957-11-29,24.842106755574548,101122.66520182292,0.00656777322291191,294.1295420328776,-2.5297802289326987,-3.4019726514816284
1957-11-30,24.887630716959677,101067.69775390625,7.34919931346667e-05,292.5250129699707,-1.6636252800623577,-3.321528196334839
1957-12-01,25.392500813802087,101063.12386067708,0.001914578276227985,293.95419947306317,-2.3948777516682944,-2.8937665621439614
1957-12-02,24.962803141276083,101043.06233723958,0.0032575815915265594,294.5315138498942,-2.023808797200521,-2.502854347229004
1957-12-03,25.108969624837243,101054.8994140625,2.8806924717628135e-05,293.5224749247233,-2.024916966756185,-2.7390599250793457
1957-12-04,25.289982732137048,101163.6962890625,3.323346578554265e-05,293.75347963968915,-2.2619152069091797,-2.3100597858428955
1957-12-05,24.347838973999046,101163.50960286458,0.0,292.3185698191325,-2.298259655634562,-2.6389500300089517
1957-12-06,23.90569903055831,101084.74869791667,1.9639730339804373e-06,291.62151018778485,-1.4825326601664226,-3.05460524559021
1957-12-07,25.00999539693197,101049.85498046875,6.697475909689388e-05,292.680716196696,-1.1586311260859172,-3.3582891623179116
1957-12-08,25.050786590576195,101115.15869140625,4.501044747939886e-05,293.5550130208333,-1.7578589121500652,-3.5715622504552207
1957-12-09,25.605832036336267,101160.4521484375,0.0001457385304206582,292.6645844777425,-1.8164196014404297,-3.341253916422526
1957-12-10,25.166360473632835,101172.96419270833,0.0012887452656400455,293.93396313985187,-2.158346176147461,-2.9442341725031533
1957-12-11,24.890146509806357,101160.75162760417,1.18919324449962e-05,293.3549607594808,-1.924716313680013,-2.3755897680918374
1957-12-12,25.125536219279013,101166.8466796875,2.743601794463757e-05,293.42294947306317,-1.8283863067626953,-2.049132784207662
1957-12-13,24.25220959981283,101123.72151692708,1.6322728924933472e-05,293.12440554300946,-1.3732852935791016,-2.1404625177383423
1957-12-14,24.478407160441122,101104.28466796875,3.394782561372267e-05,292.58522542317706,-1.7666219075520833,-2.440949479738871
1957-12-15,25.171292241414392,100993.95328776042,1.6987323760986328e-05,291.9383004506429,-2.295302073160807,-1.8090123732884724
1957-12-16,24.979465103149437,100960.01627604167,4.771982105467032e-05,292.7884095509847,-2.0788345336914062,-2.119713465372721
1957-12-17,25.104428227742517,100958.49576822917,4.458956220787513e-05,292.3556772867839,-2.2783336639404297,-2.450782140096029
1957-12-18,25.651897684733115,100927.10319010417,0.00010766386975546993,292.91380945841473,-2.639336903889974,-2.3153920571009317
1957-12-19,25.26570599873861,100974.029296875,0.00035613732421779787,293.32305399576825,-2.182072321573893,-3.127081553141276
1957-12-20,25.52246500651046,100963.00309244792,4.678048298956128e-06,292.44706535339355,-2.2113606532414756,-3.3332481384277344
1957-12-21,25.821760431925497,101018.60172526042,0.00028663742608614484,292.4264609018962,-2.8757713238398233,-2.7240123748779297
1957-12-22,25.313898976643884,101096.62711588542,0.0001905858516124681,293.17838287353516,-3.046947479248047,-2.7188690503438315
1957-12-23,24.873325602213583,101066.81998697917,1.0758638325114589e-05,292.2557061513265,-2.1958769162495932,-2.955532511075338
1957-12-24,25.406639353434286,100991.62434895833,3.885665807956684e-05,292.96244112650555,-0.9491647084554037,-3.2084906498591104
1957-12-25,24.914203262329124,100859.87386067708,0.003974225040110468,294.8100045522054,-1.410904089609782,-3.4125493367513022
1957-12-26,25.185199356079124,100833.92106119792,0.0010877285694732564,293.9287223815918,-1.535031795501709,-4.108974456787109
1957-12-27,25.74109039306643,100878.03076171875,0.0004680454730987549,293.0609900156657,-2.8726805448532104,-4.2196197509765625
1957-12-28,26.005867894490564,100988.04768880208,0.00015606401188961172,293.3932997385661,-4.509613672892253,-3.995691935221354
